,address_line1,address_line2,city,food_type,food_type1,location,number_of_reviews,opening_hour,out_of,restaurant_name,review_score,review_scores
0,King Saud Road, Al Khobar 31952 Saudi Arabia,Eastern_Province,"International, Vegan Options, Vegetarian Friendly",International,"King Saud Road, Al Khobar 31952 Saudi Arabia",101,+ Add hours,1 of 29 International in Al Khobar,Kempinski Al Othman Hotel,5.0 ,5.0
1,Prince Musaed Street Dughaither Leisure Island, Al Khobar Saudi Arabia,Eastern_Province,"Seafood, International, Mediterranean",Seafood,"Prince Musaed Street Dughaither Leisure Island, Al Khobar Saudi Arabia",916,Closed Now:See all hours,1 of 20 Seafood in Al Khobar,Al-Sanbok Seafood Restaurant,4.5 ,4.5
2,Prince Musaid Street, 34425 Al Khobar,Eastern_Province,"Japanese, Sushi, Asian",Asian,"Prince Musaid Street, 34425 Al Khobar, Al Khobar Saudi Arabia",59,+ Add hours,1 of 11 Japanese in Al Khobar,Taki Restaurant,5.0 ,5.0
3,King Saud Road Kempinski Al Othman Hotel, Al Khobar 31952 Saudi Arabia,Eastern_Province,"Italian, Pizza, Romana",Italian,"King Saud Road Kempinski Al Othman Hotel, Al Khobar 31952 Saudi Arabia",56,Closed Now:See all hours,1 of 31 Italian in Al Khobar,il Vero,5.0 ,5.0
4,Fouad Center _ Corniche Street, Al Khobar Saudi Arabia,Eastern_Province,"American, Steakhouse, Vegetarian Friendly",American,"Fouad Center _ Corniche Street, Al Khobar Saudi Arabia",331,+ Add hours,1 of 40 American in Al Khobar,Outback Steakhouse,4.0 ,4.0
5,Al Shati 3rd St Al Danah Rd Fanateer Cornich, Block 3,Eastern_Province,"Brazilian, Barbecue, Grill",American,"Al Shati 3rd St Al Danah Rd Fanateer Cornich, Block 3, Lot No.15, Al Jubail 35814 Saudi Arabia",116,Closed Now:See all hours,1 of 1 Brazilian in Al Jubail,Brasa De Brazil,4.5 ,4.5
6,Prince Turkey Road, Al Khobar 31952 Saudi Arabia,Eastern_Province,"Italian, Pizza, European",Italian,"Prince Turkey Road, Al Khobar 31952 Saudi Arabia",355,Closed Now:See all hours,2 of 31 Italian in Al Khobar,Piatto Restaurant - Al Khobar,4.0 ,4.0
7,2/F Le Meridien Al Khobar, Corniche Road,Eastern_Province,"Japanese, Sushi, Asian",Asian,"2/F Le Meridien Al Khobar, Corniche Road, Al Khobar 31952 Saudi Arabia",119,Closed Now:See all hours,2 of 11 Japanese in Al Khobar,Fusion Seafood & Sushi,4.5 ,4.5
8,King Abdullah Street Crowne Plaza, Al Khobar 31952 Saudi Arabia,Eastern_Province,"Seafood, Mediterranean, European",Seafood,"King Abdullah Street Crowne Plaza, Al Khobar 31952 Saudi Arabia",194,Closed Now:See all hours,3 of 20 Seafood in Al Khobar,Primavera Restaurant,4.5 ,4.5
9,Jubail Corniche, Al Jubail 11373 Saudi Arabia,Eastern_Province,"American, Steakhouse, Vegetarian Friendly",American,"Jubail Corniche, Al Jubail 11373 Saudi Arabia",222,Closed Now:See all hours,1 of 6 American in Al Jubail,Steak House,4.0 ,4.0
